Species,size2009,size2016,survival,sprout2016,harvest
Acacia chundra,2.707006369,4.777070064,1,0,0
Acacia chundra,3.184713376,6.369426752,1,0,0
Acacia chundra,3.184713376,3.184713376,1,0,0
Acacia chundra,2.770700637,5.095541401,1,0,0
Acacia chundra,2.707006369,,0,0,0
Acacia chundra,2.866242038,7.006369427,1,0,0
Acacia chundra,3.503184713,8.598726115,1,0,0
Acacia chundra,3.98089172,,0,0,0
Acacia chundra,4.140127389,4.777070064,1,0,0
Acacia chundra,7.802547771,4.140127389,1,0,0
Acacia chundra,11.29563557,11.25966212,1,0,0
Acacia chundra,7.802547771,7.006369427,1,0,0
Acacia chundra,8.676517659,10.00020285,1,0,0
Acacia chundra,6.369426752,8.917197452,1,0,0
Acacia chundra,0.636942675,,1,1,0
Acacia chundra,1.27388535,,1,1,0
Acacia chundra,5.414012739,7.006369427,1,0,1
Acacia chundra,6.369426752,5.732484076,1,0,0
Acacia chundra,11.12828357,11.71437845,1,0,0
Acacia chundra,11.41620913,13.39473939,1,0,0
Acacia chundra,7.165605096,10.50955414,1,0,0
Acacia chundra,7.234278146,9.154319968,1,0,0
Acacia chundra,5.573248408,7.765086204,1,0,0
Acacia chundra,6.369426752,9.23566879,1,0,0
Acacia chundra,7.038865003,,1,1,0
Acacia chundra,9.076433121,11.46496815,1,0,0
Acacia chundra,8.757961783,12.42038217,1,0,0
Acacia chundra,9.394904459,,1,1,0
Acacia chundra,6.369426752,5.095541401,1,0,1
Acacia chundra,10.02679076,11.00109901,1,0,0
Acacia chundra,8.625224564,14.71185919,1,0,0
Acacia chundra,4.777070064,,1,1,0
Acacia chundra,4.458598726,8.598726115,1,0,0
Acacia chundra,7.006369427,6.369426752,1,0,0
Acacia chundra,5.741323688,,1,1,0
Acacia chundra,3.98089172,4.777070064,1,0,0
Acacia chundra,9.543518513,,1,0,0
Acacia chundra,7.643312102,6.687898089,1,0,0
Acacia chundra,10.1910828,10.50955414,1,0,1
Acacia chundra,9.554140127,10.87009437,1,0,0
Acacia chundra,10.50955414,11.14649682,1,0,0
Acacia chundra,11.81781867,13.84526441,1,0,0
Acacia chundra,4.617834395,,0,0,0
Acacia chundra,12.12702724,11.45611831,1,0,0
Acacia chundra,7.006369427,,0,0,0
Acacia chundra,5.414012739,7.006369427,1,0,0
Acacia chundra,17.09689877,17.32964059,1,0,1
Acacia chundra,14.56288327,19.80676663,1,0,1
Acacia chundra,13.30356597,13.78285669,1,0,0
Acacia chundra,11.14649682,12.42038217,1,0,0
Acacia chundra,23.64421808,18.78980892,1,0,1
Acacia chundra,7.324840764,7.643312102,1,0,1
Acacia chundra,3.184713376,4.140127389,1,0,1
Acacia chundra,6.050955414,6.687898089,1,0,0
Acacia chundra,13.30356597,13.78285669,1,0,0
Acacia chundra,26.43312102,28.98089172,1,0,0
Acacia chundra,27.80931401,27.96207362,1,0,0
Acacia chundra,8.280254777,,0,0,0
Acacia chundra,4.458598726,8.917197452,1,0,0
Acacia chundra,4.777070064,,0,0,0
Acacia chundra,1.910828025,3.184713376,1,0,0
Acacia chundra,2.229299363,,0,0,0
Acacia chundra,1.910828025,5.732484076,1,0,0
