Species,stage2009,size2009,size2016,survival,sprout2016,harvest
Gardenia gummifera,Sprout,,1.204119983,1,0,0
Gardenia gummifera,Sprout,,1.602059991,1,0,0
Gardenia gummifera,Sprout,,1.397940009,1,0,0
Gardenia gummifera,Sprout,,1.380211242,1,0,0
Gardenia gummifera,Sprout,,0.954242509,1,0,0
Gardenia gummifera,Sprout,,1.568201724,1,0,0
Gardenia gummifera,Sprout,,1.574031268,1,0,0
Gardenia gummifera,Sprout,,1.574031268,1,0,0
Gardenia gummifera,Sprout,,1.462397998,1,0,0
Gardenia gummifera,Sprout,,1.602059991,1,0,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,1,1,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
Gardenia gummifera,Sprout,,,0,0,0
