Species,size2009,size2016,survival,sprout2016,harvest
Gardenia gummifera,0.636942675,,1,1,0
Gardenia gummifera,0.955414013,1.592356688,1,0,0
Gardenia gummifera,0.955414013,4.140127389,1,0,0
Gardenia gummifera,0.955414013,,0,0,0
Gardenia gummifera,1.114649682,,0,0,0
Gardenia gummifera,1.27388535,,0,0,0
Gardenia gummifera,1.910828025,2.866242038,1,0,0
Gardenia gummifera,1.910828025,3.184713376,1,0,1
Gardenia gummifera,2.03921154,4.404240984,1,0,0
Gardenia gummifera,2.03921154,5.274043045,1,0,0
Gardenia gummifera,2.229299363,2.866242038,1,0,1
Gardenia gummifera,2.229299363,5.423371455,1,0,0
Gardenia gummifera,2.251932424,2.547770701,1,0,1
Gardenia gummifera,2.487340661,3.343949045,1,0,0
Gardenia gummifera,2.487340661,4.053478363,1,0,0
Gardenia gummifera,2.547770701,4.07842308,1,0,0
Gardenia gummifera,2.547770701,,1,1,0
Gardenia gummifera,2.866242038,5.732484076,1,0,0
Gardenia gummifera,2.866242038,6.369426752,1,0,0
Gardenia gummifera,3.00445259,5.135196019,1,0,0
Gardenia gummifera,3.136578918,5.741323688,1,0,0
Gardenia gummifera,3.821656051,6.305410787,1,0,0
Gardenia gummifera,4.140127389,6.369426752,1,0,0
Gardenia gummifera,4.140127389,,0,0,0
Gardenia gummifera,4.167596283,4.458598726,1,0,0
Gardenia gummifera,4.248937599,6.540303433,1,0,0
Gardenia gummifera,4.777070064,5.732484076,1,0,1
Gardenia gummifera,4.892449522,8.156846162,1,0,1
Gardenia gummifera,4.974681322,6.915302787,1,0,1
Gardenia gummifera,5.25477707,7.006369427,1,0,0
Gardenia gummifera,5.506884226,6.603962213,1,0,0
Gardenia gummifera,5.527565274,5.732484076,1,0,0
Gardenia gummifera,5.534441783,8.915775592,1,0,0
Gardenia gummifera,5.570973146,7.75528386,1,0,0
Gardenia gummifera,5.75014971,9.249385815,1,0,0
Gardenia gummifera,5.767761236,8.884437092,1,0,0
Gardenia gummifera,5.923909312,7.886587576,1,0,0
Gardenia gummifera,5.923909312,8.785423073,1,0,0
Gardenia gummifera,6.117634621,6.98462172,1,0,1
Gardenia gummifera,6.369426752,7.006369427,1,0,0
Gardenia gummifera,6.369426752,7.324840764,1,0,0
Gardenia gummifera,6.369426752,8.598726115,1,0,0
Gardenia gummifera,6.369426752,8.917197452,1,0,0
Gardenia gummifera,6.385330465,6.898783127,1,0,1
Gardenia gummifera,6.565454818,3.98089172,1,0,1
Gardenia gummifera,6.626959252,7.516193452,1,0,1
Gardenia gummifera,6.687898089,10.09609394,1,0,0
Gardenia gummifera,6.860082557,8.342794201,1,0,1
Gardenia gummifera,6.874851318,7.185040876,1,0,1
Gardenia gummifera,7.006369427,8.280254777,1,0,1
Gardenia gummifera,7.006369427,9.543518513,1,0,0
Gardenia gummifera,7.324840764,7.643312102,1,0,1
Gardenia gummifera,7.324840764,9.872611465,1,0,0
Gardenia gummifera,7.468814904,11.51792441,1,0,0
Gardenia gummifera,7.489156697,13.33022263,1,0,0
Gardenia gummifera,7.669805465,12.19063188,1,0,0
Gardenia gummifera,7.75528386,5.923909312,1,0,0
Gardenia gummifera,7.961783439,7.961783439,1,0,0
Gardenia gummifera,7.961783439,8.917197452,1,0,0
Gardenia gummifera,7.968150322,9.436644834,1,0,0
Gardenia gummifera,8.286376962,11.82210904,1,0,0
Gardenia gummifera,8.407884573,10.25556827,1,0,0
Gardenia gummifera,8.56918729,9.706847551,1,0,0
Gardenia gummifera,8.598726115,13.03983604,1,0,0
Gardenia gummifera,8.663357013,9.796553131,1,0,0
Gardenia gummifera,8.939916465,9.758951239,1,0,0
Gardenia gummifera,8.962577885,13.47401006,1,0,0
Gardenia gummifera,9.007729697,13.5378416,1,0,0
Gardenia gummifera,9.114068803,12.16877272,1,0,0
Gardenia gummifera,9.328546825,9.384102611,1,0,0
Gardenia gummifera,9.378697022,12.23526924,1,0,0
Gardenia gummifera,9.42050921,10.63546464,1,0,0
Gardenia gummifera,9.459456522,10.07094796,1,0,0
Gardenia gummifera,9.548830796,11.30909612,1,0,0
Gardenia gummifera,9.55944651,12.2725152,1,0,0
Gardenia gummifera,9.659713943,11.25515735,1,0,1
Gardenia gummifera,10.13119345,12.66999703,1,0,0
Gardenia gummifera,10.13619775,13.09223235,1,0,0
Gardenia gummifera,10.20103018,15.52772318,1,0,0
Gardenia gummifera,10.53365313,13.51534725,1,0,0
Gardenia gummifera,10.59246393,9.872611465,1,0,1
Gardenia gummifera,11.14649682,12.38767538,1,0,0
Gardenia gummifera,11.24614241,13.59577975,1,0,0
Gardenia gummifera,11.46496815,13.05732484,1,0,0
Gardenia gummifera,11.59690539,12.18543087,1,0,0
Gardenia gummifera,11.60564787,19.17715824,1,0,0
Gardenia gummifera,12.50583052,14.911296,1,0,0
Gardenia gummifera,12.66198945,14.31704891,1,0,0
Gardenia gummifera,12.78653497,14.98508325,1,0,1
Gardenia gummifera,14.3780198,12.67599939,1,0,0
Gardenia gummifera,15.00199454,22.70099795,1,0,0
Gardenia gummifera,15.15669304,18.93967546,1,0,0
Gardenia gummifera,15.80529324,19.57692297,1,0,1
Gardenia gummifera,15.97126614,18.78171044,1,0,1
Gardenia gummifera,16.00932322,17.38223446,1,0,1
Gardenia gummifera,16.86695882,20.65956239,1,0,0
Gardenia gummifera,16.94794229,22.31572999,1,0,0
Gardenia gummifera,17.25926612,16.2490618,1,0,1
